Date,DayOfWeek,FoodItem,Category,Quantity,PricePerItem,TotalSales,CustomerType,Weather,SpecialEvent
2024-06-10,Monday,Steak,Main Course,8,20.65,165.2,New,Sunny,None
2024-12-02,Monday,Ice Cream,Dessert,2,13.92,27.84,Regular,Windy,None
2024-06-10,Monday,Tacos,Main Course,8,9.9,79.2,New,Cloudy,None
2024-08-03,Saturday,Tea,Drink,8,11.87,94.96,New,Windy,None
2024-12-16,Monday,Ice Cream,Dessert,8,20.26,162.08,Regular,Windy,None
2024-10-19,Saturday,Tea,Drink,10,27.88,278.8,New,Cloudy,Festival
2024-06-30,Sunday,Pasta,Main Course,6,17.9,107.4,Regular,Cloudy,None
2024-06-20,Thursday,Coffee,Drink,6,22.04,132.24,Regular,Cloudy,None
2025-03-16,Sunday,Salad,Appetizer,6,6.3,37.8,Regular,Sunny,None
2024-11-24,Sunday,Steak,Main Course,7,14.52,101.64,New,Cloudy,None
2025-03-06,Thursday,Burger,Main Course,1,21.83,21.83,Regular,Windy,None
2025-03-12,Wednesday,Steak,Main Course,6,11.71,70.26,Regular,Windy,None
2024-08-25,Sunday,Tea,Drink,7,9.9,69.3,Regular,Windy,None
2024-07-28,Sunday,Salad,Appetizer,3,22.09,66.27,New,Cold,Holiday
2024-12-24,Tuesday,Salad,Appetizer,4,18.65,74.6,Occasional,Windy,Weekend Special
2024-11-01,Friday,Steak,Main Course,7,9.11,63.77,Regular,Cloudy,Weekend Special
2025-02-11,Tuesday,Pasta,Main Course,9,24.04,216.36,New,Stormy,None
2024-08-19,Monday,Steak,Main Course,7,9.19,64.33,New,Stormy,Weekend Special
2024-06-15,Saturday,Salad,Appetizer,4,13.58,54.32,New,Cloudy,None
2024-05-06,Monday,Salad,Appetizer,9,7.66,68.94,New,Cold,None
2024-07-02,Tuesday,Ice Cream,Dessert,9,11.57,104.13,Regular,Windy,None
2024-09-05,Thursday,Tea,Drink,6,23.9,143.4,New,Cold,Festival
2025-01-16,Thursday,Salad,Appetizer,1,9.85,9.85,New,Sunny,Festival
2025-01-08,Wednesday,Coffee,Drink,10,6.86,68.6,Occasional,Stormy,None
2024-04-09,Tuesday,Pasta,Main Course,1,9.98,9.98,Occasional,Cold,None
2024-08-12,Monday,Sushi,Main Course,1,7.15,7.15,Regular,Stormy,None
2024-12-25,Wednesday,Steak,Main Course,5,16.34,81.7,Regular,Cold,None
2025-02-09,Sunday,Salad,Appetizer,3,14.15,42.45,Occasional,Stormy,None
2024-09-11,Wednesday,Coffee,Drink,2,10.95,21.9,Regular,Cold,None
2024-05-08,Wednesday,Tea,Drink,5,28.82,144.1,Regular,Cloudy,Festival
2024-07-25,Thursday,Sushi,Main Course,2,5.88,11.76,Regular,Stormy,None
2024-08-20,Tuesday,Coffee,Drink,2,22.4,44.8,New,Windy,None
2024-11-05,Tuesday,Pasta,Main Course,8,5.17,41.36,Regular,Rainy,Festival
2024-12-19,Thursday,Coffee,Drink,9,26.41,237.69,Regular,Rainy,Festival
2024-11-21,Thursday,Steak,Main Course,9,25.23,227.07,Occasional,Stormy,None
2024-07-21,Sunday,Steak,Main Course,10,17.66,176.6,New,Stormy,None
2024-11-27,Wednesday,Sushi,Main Course,5,26.56,132.8,Regular,Cloudy,None
2024-08-04,Sunday,Steak,Main Course,5,18.53,92.65,Regular,Windy,None
2025-03-15,Saturday,Steak,Main Course,6,24.69,148.14,Occasional,Cold,None
2024-05-19,Sunday,Pasta,Main Course,5,28.95,144.75,Occasional,Sunny,Festival
2024-11-22,Friday,Tacos,Main Course,6,5.63,33.78,Occasional,Sunny,Festival
2025-02-08,Saturday,Burger,Main Course,3,25.04,75.12,Regular,Rainy,None
2024-10-13,Sunday,Salad,Appetizer,2,28.96,57.92,Regular,Sunny,Holiday
2024-05-08,Wednesday,Steak,Main Course,2,10.21,20.42,Regular,Stormy,None
2024-10-13,Sunday,Salad,Appetizer,7,18.89,132.23,Regular,Sunny,None
2025-02-12,Wednesday,Sushi,Main Course,9,18.12,163.08,Regular,Windy,None
2024-04-14,Sunday,Ice Cream,Dessert,3,17.49,52.47,Occasional,Rainy,None
2024-09-11,Wednesday,Ice Cream,Dessert,5,21.08,105.4,Regular,Sunny,None
2024-08-14,Wednesday,Coffee,Drink,3,27.98,83.94,Regular,Sunny,None
2025-02-18,Tuesday,Pasta,Main Course,9,25.19,226.71,Regular,Rainy,None
2024-12-26,Thursday,Pizza,Main Course,3,10.0,30.0,Regular,Cloudy,None
2024-04-23,Tuesday,Sushi,Main Course,10,7.32,73.2,Regular,Sunny,Festival
2024-06-05,Wednesday,Coffee,Drink,4,15.38,61.52,Regular,Rainy,Holiday
2024-03-30,Saturday,Ice Cream,Dessert,6,5.61,33.66,Regular,Stormy,None
2025-01-23,Thursday,Pizza,Main Course,8,9.42,75.36,Regular,Cold,None
2025-01-31,Friday,Steak,Main Course,5,23.67,118.35,Regular,Cloudy,None
2025-03-21,Friday,Pasta,Main Course,7,8.87,62.09,New,Sunny,None
2024-08-07,Wednesday,Tea,Drink,2,17.77,35.54,New,Cloudy,Holiday
2024-08-27,Tuesday,Tacos,Main Course,9,11.03,99.27,Regular,Sunny,None
2025-01-17,Friday,Pasta,Main Course,8,29.01,232.08,New,Rainy,None
2024-07-19,Friday,Salad,Appetizer,4,16.07,64.28,New,Rainy,Weekend Special
2025-03-14,Friday,Tea,Drink,3,28.92,86.76,Occasional,Cold,None
2024-06-07,Friday,Pasta,Main Course,10,28.88,288.8,Occasional,Rainy,Holiday
2024-04-24,Wednesday,Pasta,Main Course,2,23.32,46.64,New,Cloudy,Festival
2025-02-22,Saturday,Pizza,Main Course,5,10.91,54.55,New,Rainy,Festival
2024-07-26,Friday,Steak,Main Course,6,22.56,135.36,Regular,Windy,Festival
2024-08-30,Friday,Coffee,Drink,4,13.01,52.04,Occasional,Cold,None
2024-05-26,Sunday,Ice Cream,Dessert,8,23.43,187.44,Occasional,Rainy,None
2024-06-04,Tuesday,Tacos,Main Course,5,11.18,55.9,Regular,Cold,None
2024-12-20,Friday,Sushi,Main Course,10,25.27,252.7,New,Windy,Holiday
2024-12-26,Thursday,Pizza,Main Course,3,27.33,81.99,New,Windy,None
2024-09-03,Tuesday,Pasta,Main Course,10,9.36,93.6,Regular,Sunny,None
2025-03-10,Monday,Tea,Drink,8,23.99,191.92,Occasional,Cloudy,None
2024-11-15,Friday,Ice Cream,Dessert,6,8.46,50.76,Occasional,Windy,None
2024-06-21,Friday,Pasta,Main Course,1,25.31,25.31,New,Sunny,None
2024-10-21,Monday,Steak,Main Course,7,23.23,162.61,New,Sunny,None
2024-11-13,Wednesday,Pasta,Main Course,1,27.08,27.08,Regular,Windy,None
2024-07-31,Wednesday,Ice Cream,Dessert,9,17.59,158.31,Occasional,Stormy,None
2025-02-17,Monday,Salad,Appetizer,6,21.68,130.08,Regular,Rainy,None
2024-05-20,Monday,Tacos,Main Course,1,24.97,24.97,Occasional,Sunny,None
2024-05-02,Thursday,Sushi,Main Course,5,10.91,54.55,Regular,Sunny,Festival
2024-10-13,Sunday,Tea,Drink,6,7.74,46.44,Regular,Rainy,Discount Day
2025-02-12,Wednesday,Tea,Drink,2,5.57,11.14,Regular,Windy,None
2024-11-28,Thursday,Tea,Drink,6,21.6,129.6,Regular,Rainy,None
2024-11-22,Friday,Coffee,Drink,4,6.42,25.68,Occasional,Sunny,None
2024-04-13,Saturday,Ice Cream,Dessert,2,10.26,20.52,New,Sunny,None
2025-02-02,Sunday,Pizza,Main Course,3,14.95,44.85,New,Cloudy,None
2024-07-05,Friday,Salad,Appetizer,3,7.95,23.85,New,Cloudy,Discount Day
2024-08-29,Thursday,Tacos,Main Course,8,23.82,190.56,Regular,Sunny,None
2024-03-30,Saturday,Pizza,Main Course,2,7.82,15.64,Regular,Rainy,Weekend Special
2024-12-29,Sunday,Burger,Main Course,2,20.44,40.88,Regular,Rainy,Holiday
2024-12-12,Thursday,Coffee,Drink,8,28.31,226.48,Regular,Windy,Holiday
2024-12-15,Sunday,Salad,Appetizer,1,12.34,12.34,Regular,Stormy,None
2024-04-06,Saturday,Coffee,Drink,1,21.51,21.51,Regular,Cloudy,Festival
2025-01-13,Monday,Coffee,Drink,2,8.74,17.48,New,Rainy,None
2024-05-14,Tuesday,Sushi,Main Course,1,24.75,24.75,New,Cloudy,None
2025-03-05,Wednesday,Steak,Main Course,1,19.41,19.41,Regular,Rainy,None
2025-01-06,Monday,Sushi,Main Course,7,8.22,57.54,Occasional,Windy,None
2024-06-30,Sunday,Steak,Main Course,6,23.04,138.24,Occasional,Sunny,Festival
2025-03-13,Thursday,Burger,Main Course,4,22.89,91.56,New,Cold,None
2025-02-05,Wednesday,Tea,Drink,8,25.59,204.72,New,Rainy,Discount Day
2024-07-13,Saturday,Pizza,Main Course,3,11.89,35.67,Regular,Cold,None
2024-05-20,Monday,Coffee,Drink,6,14.68,88.08,New,Rainy,None
2024-06-16,Sunday,Burger,Main Course,5,28.54,142.7,Occasional,Rainy,None
2024-07-01,Monday,Ice Cream,Dessert,1,15.56,15.56,Regular,Rainy,None
2024-05-04,Saturday,Coffee,Drink,8,11.95,95.6,Regular,Windy,None
2024-11-06,Wednesday,Pizza,Main Course,7,15.65,109.55,New,Stormy,None
2024-12-07,Saturday,Pasta,Main Course,5,18.28,91.4,Occasional,Sunny,None
2024-04-15,Monday,Sushi,Main Course,3,25.69,77.07,New,Cloudy,None
2024-08-06,Tuesday,Sushi,Main Course,1,11.24,11.24,Regular,Windy,None
2024-10-12,Saturday,Tacos,Main Course,8,19.11,152.88,New,Stormy,None
2024-10-02,Wednesday,Sushi,Main Course,10,6.62,66.2,Regular,Cloudy,Holiday
2024-07-20,Saturday,Steak,Main Course,6,12.13,72.78,Occasional,Rainy,None
2025-01-28,Tuesday,Pizza,Main Course,3,25.92,77.76,Regular,Stormy,None
2024-05-03,Friday,Burger,Main Course,9,6.48,58.32,Regular,Windy,None
2024-09-02,Monday,Salad,Appetizer,1,25.15,25.15,New,Stormy,None
2024-11-25,Monday,Pizza,Main Course,8,14.97,119.76,New,Sunny,None
2024-07-03,Wednesday,Tacos,Main Course,9,6.07,54.63,Regular,Sunny,Festival
2024-09-13,Friday,Steak,Main Course,8,7.69,61.52,New,Cloudy,None
2024-05-17,Friday,Steak,Main Course,1,16.59,16.59,Regular,Sunny,None
2025-01-30,Thursday,Pizza,Main Course,4,6.35,25.4,New,Cold,None
2024-05-02,Thursday,Burger,Main Course,5,14.03,70.15,New,Cold,None
2024-12-13,Friday,Salad,Appetizer,7,9.37,65.59,New,Sunny,None
2024-05-02,Thursday,Tacos,Main Course,3,13.72,41.16,Occasional,Cloudy,None
2024-09-26,Thursday,Tacos,Main Course,7,19.9,139.3,Regular,Rainy,None
2025-01-14,Tuesday,Burger,Main Course,6,9.97,59.82,New,Rainy,None
2024-05-22,Wednesday,Pasta,Main Course,8,28.05,224.4,Occasional,Stormy,None
2024-11-04,Monday,Pasta,Main Course,2,13.83,27.66,Regular,Rainy,Festival
2024-07-05,Friday,Ice Cream,Dessert,1,5.8,5.8,Occasional,Stormy,None
2025-02-16,Sunday,Pizza,Main Course,5,29.13,145.65,New,Sunny,Holiday
2024-09-27,Friday,Pizza,Main Course,1,16.17,16.17,Regular,Stormy,None
2024-10-30,Wednesday,Sushi,Main Course,1,5.49,5.49,New,Windy,None
2024-09-01,Sunday,Coffee,Drink,2,25.51,51.02,New,Cloudy,Festival
2024-07-24,Wednesday,Sushi,Main Course,10,5.08,50.8,Regular,Cloudy,None
2025-03-11,Tuesday,Pasta,Main Course,1,11.39,11.39,New,Sunny,Festival
2025-02-08,Saturday,Sushi,Main Course,10,25.54,255.4,Occasional,Stormy,Holiday
2024-11-22,Friday,Coffee,Drink,8,20.97,167.76,New,Rainy,None
2024-05-24,Friday,Ice Cream,Dessert,2,25.34,50.68,Regular,Windy,Holiday
2024-12-28,Saturday,Pizza,Main Course,7,27.7,193.9,Occasional,Rainy,None
2024-04-20,Saturday,Sushi,Main Course,1,17.13,17.13,New,Rainy,None
2024-12-01,Sunday,Pasta,Main Course,6,15.92,95.52,Regular,Cloudy,Discount Day
2024-05-31,Friday,Tea,Drink,10,12.23,122.3,New,Sunny,Discount Day
2024-04-20,Saturday,Ice Cream,Dessert,1,6.67,6.67,Occasional,Cold,None
2024-09-08,Sunday,Tacos,Main Course,3,5.66,16.98,Regular,Windy,None
2024-05-06,Monday,Coffee,Drink,3,7.64,22.92,Regular,Rainy,None
2024-05-24,Friday,Burger,Main Course,5,7.38,36.9,Occasional,Windy,Weekend Special
2025-03-10,Monday,Pizza,Main Course,4,14.23,56.92,New,Windy,None
2024-11-10,Sunday,Tea,Drink,9,27.12,244.08,New,Stormy,Weekend Special
2024-12-22,Sunday,Pizza,Main Course,2,29.4,58.8,Occasional,Cloudy,Festival
2024-04-17,Wednesday,Coffee,Drink,10,29.11,291.1,Occasional,Windy,None
2025-01-11,Saturday,Pizza,Main Course,9,28.2,253.8,Occasional,Cold,None
2024-08-19,Monday,Pasta,Main Course,2,16.28,32.56,Occasional,Cold,None
2025-03-12,Wednesday,Salad,Appetizer,10,29.57,295.7,Occasional,Cold,None
2024-07-09,Tuesday,Burger,Main Course,9,9.31,83.79,Occasional,Cold,None
2024-10-18,Friday,Tacos,Main Course,8,13.0,104.0,New,Rainy,Festival
2024-12-13,Friday,Tacos,Main Course,10,7.13,71.3,New,Sunny,Holiday
2025-01-14,Tuesday,Pizza,Main Course,3,17.77,53.31,Regular,Windy,None
2024-11-19,Tuesday,Pasta,Main Course,10,21.76,217.6,New,Windy,None
2024-08-16,Friday,Tacos,Main Course,10,28.58,285.8,New,Stormy,None
2024-07-18,Thursday,Burger,Main Course,5,6.08,30.4,Regular,Cloudy,None
2024-07-03,Wednesday,Pizza,Main Course,10,15.59,155.9,Regular,Sunny,None
2024-05-06,Monday,Coffee,Drink,4,9.43,37.72,Regular,Cloudy,None
2025-01-05,Sunday,Salad,Appetizer,6,23.07,138.42,Regular,Stormy,None
2025-01-07,Tuesday,Tacos,Main Course,3,12.32,36.96,Regular,Windy,Weekend Special
2025-03-21,Friday,Sushi,Main Course,10,14.41,144.1,New,Cloudy,None
2024-07-05,Friday,Tea,Drink,7,5.64,39.48,Regular,Cold,None
2024-09-01,Sunday,Ice Cream,Dessert,1,8.82,8.82,Regular,Stormy,None
2024-12-28,Saturday,Steak,Main Course,10,24.0,240.0,Occasional,Stormy,None
2025-01-11,Saturday,Coffee,Drink,3,5.01,15.03,Occasional,Rainy,None
2024-06-06,Thursday,Tacos,Main Course,9,22.42,201.78,Regular,Sunny,Festival
2024-12-03,Tuesday,Pasta,Main Course,5,14.88,74.4,Regular,Windy,None
2024-09-25,Wednesday,Tea,Drink,2,15.62,31.24,New,Sunny,None
2025-03-05,Wednesday,Pizza,Main Course,4,29.97,119.88,Regular,Cloudy,None
2025-03-11,Tuesday,Tea,Drink,3,29.96,89.88,Occasional,Cloudy,None
2024-06-12,Wednesday,Salad,Appetizer,4,16.88,67.52,Regular,Sunny,None
2024-08-14,Wednesday,Salad,Appetizer,1,27.96,27.96,Regular,Windy,None
2025-02-23,Sunday,Steak,Main Course,1,27.75,27.75,Regular,Cold,Holiday
2025-03-20,Thursday,Ice Cream,Dessert,3,11.55,34.65,New,Stormy,None
2024-03-31,Sunday,Burger,Main Course,4,22.43,89.72,Regular,Windy,None
2025-02-06,Thursday,Pizza,Main Course,8,23.89,191.12,Regular,Cloudy,None
2024-07-23,Tuesday,Coffee,Drink,3,22.5,67.5,New,Windy,Holiday
2024-08-26,Monday,Burger,Main Course,9,18.53,166.77,Occasional,Sunny,Festival
2024-04-24,Wednesday,Ice Cream,Dessert,9,8.64,77.76,Regular,Stormy,None
2024-11-10,Sunday,Coffee,Drink,2,24.68,49.36,Occasional,Windy,None
2024-09-18,Wednesday,Tacos,Main Course,7,28.68,200.76,New,Windy,None
2024-10-06,Sunday,Tea,Drink,4,22.47,89.88,New,Cloudy,None
2024-11-17,Sunday,Ice Cream,Dessert,5,28.26,141.3,Regular,Cold,None
2024-06-27,Thursday,Pizza,Main Course,6,13.51,81.06,Regular,Cold,Festival
2025-02-06,Thursday,Burger,Main Course,2,8.1,16.2,Regular,Windy,None
2024-09-23,Monday,Burger,Main Course,8,29.87,238.96,Regular,Stormy,Festival
2024-10-20,Sunday,Burger,Main Course,6,7.83,46.98,Regular,Stormy,None
2024-11-02,Saturday,Burger,Main Course,4,25.81,103.24,New,Windy,Festival
2024-06-09,Sunday,Salad,Appetizer,7,12.86,90.02,Regular,Cloudy,None
2024-09-23,Monday,Pizza,Main Course,9,19.48,175.32,Regular,Windy,None
2025-02-08,Saturday,Ice Cream,Dessert,1,6.23,6.23,New,Cloudy,None
2024-06-05,Wednesday,Pasta,Main Course,5,18.26,91.3,New,Rainy,None
2024-07-21,Sunday,Tacos,Main Course,7,22.06,154.42,Regular,Cloudy,Festival
2025-02-17,Monday,Tea,Drink,7,15.78,110.46,Regular,Cold,Holiday
2024-04-16,Tuesday,Sushi,Main Course,3,5.36,16.08,New,Cold,None
2024-11-28,Thursday,Steak,Main Course,8,23.91,191.28,Regular,Sunny,None
2024-10-20,Sunday,Sushi,Main Course,6,29.12,174.72,Regular,Windy,Festival
2024-12-07,Saturday,Burger,Main Course,7,8.27,57.89,Occasional,Cold,None
2024-10-04,Friday,Tacos,Main Course,7,24.58,172.06,Occasional,Rainy,Holiday
2024-11-15,Friday,Steak,Main Course,5,6.35,31.75,Regular,Cold,None
2025-01-18,Saturday,Steak,Main Course,4,28.13,112.52,Regular,Cloudy,None
2025-02-16,Sunday,Pasta,Main Course,2,9.37,18.74,Regular,Stormy,None
2024-10-03,Thursday,Ice Cream,Dessert,8,12.77,102.16,Regular,Cold,None
2024-05-26,Sunday,Tacos,Main Course,1,7.59,7.59,Regular,Cloudy,Discount Day
2025-03-02,Sunday,Pizza,Main Course,6,27.77,166.62,Occasional,Cold,None
2024-08-21,Wednesday,Coffee,Drink,7,29.83,208.81,Regular,Windy,None
2025-03-20,Thursday,Ice Cream,Dessert,10,17.91,179.1,Regular,Cloudy,None
2024-11-21,Thursday,Coffee,Drink,3,9.9,29.7,Regular,Windy,None
2024-12-27,Friday,Steak,Main Course,8,28.27,226.16,Occasional,Cold,None
2024-08-22,Thursday,Tacos,Main Course,5,26.32,131.6,New,Stormy,None
2025-02-09,Sunday,Pizza,Main Course,3,6.34,19.02,New,Rainy,Holiday
2024-08-13,Tuesday,Ice Cream,Dessert,6,10.7,64.2,Regular,Windy,Holiday
2024-05-11,Saturday,Coffee,Drink,1,16.53,16.53,Regular,Cloudy,None
2024-08-18,Sunday,Sushi,Main Course,9,9.37,84.33,Regular,Cloudy,None
2024-09-13,Friday,Salad,Appetizer,9,13.11,117.99,Regular,Cold,None
2024-08-06,Tuesday,Tacos,Main Course,5,12.64,63.2,Regular,Cloudy,None
2025-01-19,Sunday,Pasta,Main Course,4,26.14,104.56,Regular,Rainy,Weekend Special
2025-01-01,Wednesday,Pasta,Main Course,8,12.14,97.12,New,Cloudy,Holiday
2024-12-02,Monday,Ice Cream,Dessert,10,23.34,233.4,Occasional,Stormy,None
2025-01-20,Monday,Tacos,Main Course,4,11.07,44.28,Regular,Cloudy,None
2024-08-23,Friday,Pasta,Main Course,8,9.24,73.92,Regular,Windy,None
2024-12-12,Thursday,Pasta,Main Course,2,27.44,54.88,Regular,Sunny,None
2024-09-17,Tuesday,Burger,Main Course,2,20.17,40.34,Regular,Rainy,Festival
2025-01-25,Saturday,Sushi,Main Course,6,22.87,137.22,Regular,Stormy,None
2024-06-28,Friday,Salad,Appetizer,6,22.98,137.88,New,Rainy,None
2024-09-02,Monday,Salad,Appetizer,6,26.19,157.14,Occasional,Sunny,None
2024-09-22,Sunday,Pizza,Main Course,9,6.73,60.57,Occasional,Stormy,None
2024-05-30,Thursday,Sushi,Main Course,9,27.63,248.67,Occasional,Cold,Discount Day
2024-06-14,Friday,Sushi,Main Course,5,11.36,56.8,New,Cold,None
2024-06-05,Wednesday,Tacos,Main Course,1,25.65,25.65,Regular,Windy,Festival
2024-09-16,Monday,Pizza,Main Course,8,20.07,160.56,Regular,Cloudy,Holiday
2024-11-16,Saturday,Pizza,Main Course,1,21.04,21.04,New,Cloudy,None
2024-09-17,Tuesday,Salad,Appetizer,10,8.08,80.8,New,Windy,None
2025-01-30,Thursday,Sushi,Main Course,9,23.38,210.42,Occasional,Windy,None
2024-08-20,Tuesday,Tea,Drink,9,17.86,160.74,Regular,Cloudy,None
2024-06-26,Wednesday,Sushi,Main Course,6,17.03,102.18,New,Stormy,None
2024-09-17,Tuesday,Ice Cream,Dessert,3,11.34,34.02,Regular,Sunny,Festival
2024-10-21,Monday,Tea,Drink,9,23.69,213.21,Regular,Cold,None
2024-04-22,Monday,Pasta,Main Course,4,25.79,103.16,New,Windy,None
2024-09-12,Thursday,Coffee,Drink,4,10.96,43.84,New,Rainy,Discount Day
2025-02-28,Friday,Coffee,Drink,8,5.75,46.0,Occasional,Rainy,Weekend Special
2024-06-10,Monday,Tea,Drink,4,29.59,118.36,New,Windy,Weekend Special
2024-07-26,Friday,Tea,Drink,9,28.1,252.9,Regular,Sunny,None
2024-04-29,Monday,Pizza,Main Course,1,9.63,9.63,Regular,Sunny,None
2024-08-19,Monday,Coffee,Drink,7,16.53,115.71,Regular,Sunny,Weekend Special
2024-12-02,Monday,Coffee,Drink,10,21.79,217.9,New,Cloudy,None
2025-01-17,Friday,Tacos,Main Course,2,5.28,10.56,Regular,Cold,None
2024-06-30,Sunday,Tacos,Main Course,2,12.22,24.44,Occasional,Rainy,Festival
2024-12-15,Sunday,Sushi,Main Course,6,21.25,127.5,New,Sunny,None
2024-11-04,Monday,Burger,Main Course,8,11.91,95.28,New,Windy,None
2024-12-24,Tuesday,Salad,Appetizer,6,12.73,76.38,Occasional,Windy,None
2024-12-19,Thursday,Pizza,Main Course,1,5.09,5.09,New,Sunny,None
2024-07-31,Wednesday,Tacos,Main Course,3,5.09,15.27,Occasional,Cold,Weekend Special
2025-03-05,Wednesday,Tea,Drink,7,15.94,111.58,Regular,Sunny,Weekend Special
2024-11-03,Sunday,Burger,Main Course,7,15.82,110.74,Occasional,Stormy,None
2024-10-25,Friday,Pizza,Main Course,2,5.33,10.66,New,Cold,None
2024-05-09,Thursday,Pizza,Main Course,2,22.6,45.2,Occasional,Rainy,Discount Day
2024-11-22,Friday,Burger,Main Course,8,18.54,148.32,Regular,Windy,Festival
2024-11-18,Monday,Tea,Drink,5,24.31,121.55,Regular,Windy,None
2024-06-25,Tuesday,Steak,Main Course,9,24.01,216.09,Regular,Windy,None
2024-04-28,Sunday,Coffee,Drink,3,14.45,43.35,New,Windy,None
2024-04-03,Wednesday,Pasta,Main Course,7,20.17,141.19,New,Windy,None
2024-10-02,Wednesday,Tacos,Main Course,9,18.89,170.01,Occasional,Windy,None
2025-02-18,Tuesday,Coffee,Drink,8,24.54,196.32,Regular,Sunny,None
2024-04-27,Saturday,Tea,Drink,7,9.52,66.64,Regular,Sunny,None
2024-08-29,Thursday,Tacos,Main Course,1,22.33,22.33,Regular,Sunny,Weekend Special
2024-10-08,Tuesday,Pasta,Main Course,7,27.03,189.21,New,Cold,None
2024-07-28,Sunday,Coffee,Drink,10,18.98,189.8,Occasional,Stormy,None
2024-08-24,Saturday,Pizza,Main Course,9,26.37,237.33,New,Windy,None
2024-10-13,Sunday,Pasta,Main Course,2,24.6,49.2,Regular,Windy,None
2024-06-14,Friday,Pizza,Main Course,8,17.17,137.36,Regular,Sunny,None
2025-01-12,Sunday,Pasta,Main Course,8,12.42,99.36,New,Sunny,None
2024-05-01,Wednesday,Coffee,Drink,3,12.01,36.03,New,Windy,None
2024-04-03,Wednesday,Pasta,Main Course,7,11.66,81.62,Regular,Windy,Weekend Special
2025-01-10,Friday,Steak,Main Course,9,19.69,177.21,Regular,Cloudy,Festival
2024-07-13,Saturday,Sushi,Main Course,6,11.66,69.96,Regular,Windy,None
2024-09-12,Thursday,Sushi,Main Course,6,17.15,102.9,Occasional,Cold,None
2024-10-02,Wednesday,Coffee,Drink,3,5.07,15.21,New,Rainy,Festival
2024-04-20,Saturday,Steak,Main Course,8,25.76,206.08,New,Sunny,Weekend Special
2024-08-04,Sunday,Burger,Main Course,2,20.8,41.6,Regular,Cloudy,Festival
2024-10-15,Tuesday,Tacos,Main Course,5,28.77,143.85,Regular,Rainy,Festival
2025-01-01,Wednesday,Sushi,Main Course,8,29.8,238.4,New,Windy,None
2024-12-30,Monday,Sushi,Main Course,1,6.46,6.46,Regular,Cloudy,Weekend Special
2024-09-03,Tuesday,Coffee,Drink,3,9.02,27.06,Regular,Stormy,None
2024-06-04,Tuesday,Pasta,Main Course,7,6.81,47.67,Occasional,Windy,Weekend Special
2025-01-25,Saturday,Steak,Main Course,1,17.04,17.04,Regular,Cold,Weekend Special
2024-06-03,Monday,Burger,Main Course,2,7.9,15.8,Regular,Sunny,None
2025-01-25,Saturday,Ice Cream,Dessert,2,29.53,59.06,New,Cold,None
2024-07-31,Wednesday,Pizza,Main Course,1,23.6,23.6,Regular,Stormy,None
2024-09-08,Sunday,Tea,Drink,3,9.99,29.97,Regular,Sunny,Festival
2024-10-29,Tuesday,Tea,Drink,6,22.01,132.06,Regular,Stormy,None
2024-04-05,Friday,Pizza,Main Course,9,19.35,174.15,Regular,Cloudy,None
2024-10-13,Sunday,Sushi,Main Course,4,25.27,101.08,Regular,Windy,None
2024-10-26,Saturday,Tacos,Main Course,10,18.88,188.8,Regular,Stormy,None
2024-11-02,Saturday,Tea,Drink,5,11.98,59.9,Regular,Sunny,None
2024-12-20,Friday,Pizza,Main Course,10,24.83,248.3,New,Rainy,Discount Day
2025-02-05,Wednesday,Salad,Appetizer,5,25.27,126.35,Regular,Cloudy,Holiday
2025-03-04,Tuesday,Burger,Main Course,5,13.31,66.55,Regular,Windy,None
2024-04-18,Thursday,Tacos,Main Course,4,22.12,88.48,Regular,Cold,None
2024-07-14,Sunday,Steak,Main Course,8,11.4,91.2,New,Rainy,None
2024-04-13,Saturday,Pasta,Main Course,7,18.25,127.75,Regular,Cold,Discount Day
2024-08-29,Thursday,Tacos,Main Course,1,23.63,23.63,Regular,Windy,None
2024-12-19,Thursday,Sushi,Main Course,5,28.27,141.35,New,Windy,None
2024-08-12,Monday,Pasta,Main Course,6,25.01,150.06,Regular,Cloudy,Discount Day
2024-08-31,Saturday,Sushi,Main Course,7,27.88,195.16,New,Cold,None
2024-10-31,Thursday,Ice Cream,Dessert,8,28.18,225.44,New,Stormy,None
2024-12-26,Thursday,Tea,Drink,6,13.81,82.86,Regular,Stormy,None
2024-12-01,Sunday,Tea,Drink,3,23.23,69.69,Regular,Sunny,None
2024-12-23,Monday,Steak,Main Course,6,7.68,46.08,Regular,Cloudy,None
2025-02-14,Friday,Burger,Main Course,10,7.54,75.4,Regular,Sunny,Discount Day
2024-06-19,Wednesday,Ice Cream,Dessert,9,28.54,256.86,Regular,Cloudy,None
2024-08-14,Wednesday,Steak,Main Course,5,22.6,113.0,Regular,Stormy,None
2024-11-04,Monday,Pasta,Main Course,3,20.85,62.55,Regular,Windy,None
2024-07-10,Wednesday,Salad,Appetizer,6,25.44,152.64,Occasional,Cloudy,Weekend Special
2024-12-16,Monday,Pasta,Main Course,1,27.32,27.32,New,Rainy,None
2024-10-18,Friday,Steak,Main Course,10,13.93,139.3,Occasional,Sunny,None
2024-11-03,Sunday,Tacos,Main Course,1,6.97,6.97,Regular,Rainy,Festival
2025-01-19,Sunday,Pasta,Main Course,6,29.17,175.02,New,Cloudy,None
2024-11-26,Tuesday,Ice Cream,Dessert,10,13.49,134.9,Regular,Sunny,Discount Day
2024-03-31,Sunday,Ice Cream,Dessert,2,24.12,48.24,New,Rainy,None
